segment_id,lat,lon,hour_of_day,lighting_score,crime_reports_30d,foot_traffic,sidewalk_present,past_accidents_1y,avg_speed_limit,cctv_present,safety_score,risk_level
SEG100046,23.02131131084666,72.54569682441371,2,6.363106066625744,3,3.4524295845856323,0,0,50,0,43.0,High
SEG100047,23.015858045716165,72.54723002375738,9,4.283055102751817,2,6.587812726318704,0,2,40,1,54.4,Medium
SEG100048,23.037537252718625,72.55383707123967,10,9.62135198983525,3,7.760009585845285,1,0,80,0,69.2,Medium
SEG100049,23.00768638659851,72.57663876962391,5,7.054421098520002,3,5.921852121302548,1,1,30,1,63.1,Medium
SEG100050,23.01099495113613,72.59172419778855,18,0.012737462508904951,2,8.69222134925852,0,3,40,1,38.1,High
SEG100051,23.000404924836307,72.57348743295803,11,0.23279481482253006,3,8.207858258834426,1,2,50,0,47.7,Medium
SEG100052,23.043280840762616,72.56556580761136,17,6.903002034683744,5,6.175050335811272,1,1,60,0,48.9,Medium
SEG100053,23.036566797112563,72.55915885752111,9,4.126450975455027,3,3.481229982576739,1,1,40,1,49.3,Medium
SEG100054,23.038784095824447,72.58383264035744,21,8.394709492122663,4,3.6371051804894905,1,4,60,1,25.6,High
SEG100055,23.042940096706207,72.58522771815899,17,1.7301540948626204,2,6.150969161203632,1,2,40,0,47.2,Medium
SEG100056,23.025240367654607,72.54904744883814,7,0.1382691405229186,2,6.565516946425834,0,0,30,1,49.5,Medium
SEG100057,23.03128076577741,72.59197231616247,23,3.880823501137123,0,3.9458676242529025,0,2,60,0,36.0,High
SEG100058,23.00768883489702,72.55568249860842,20,7.360641043074489,1,3.9751739341649173,0,1,40,0,60.8,Medium
SEG100059,23.006299154044477,72.58200507449745,14,9.717277333775685,4,1.7677972265106279,0,1,60,0,45.4,Medium
SEG100060,23.036762162898476,72.59284329207534,0,8.836538793510554,3,0.0028752278650090446,1,0,50,0,46.8,Medium
SEG100061,23.025910291337873,72.57573777655561,14,4.8407461193713885,2,4.614915229835509,1,1,20,0,67.2,Medium
SEG100062,23.031087985856466,72.54050079721932,16,8.128172831963665,2,8.308412513470813,1,1,60,0,69.4,Medium
SEG100063,23.04207493715788,72.5680989020863,8,0.7033045786761405,3,7.665412513652981,0,1,30,1,49.9,Medium
SEG100064,23.034909507600034,72.53772051300122,3,5.7227234758488335,1,9.939403380904949,1,1,50,1,70.3,Low
SEG100065,23.03044686703619,72.58129423259147,13,9.242984130144702,3,6.69405779355967,1,1,50,1,68.4,Medium
SEG100066,23.030756393841,72.54828548630181,19,3.9638514749073996,0,2.3391298603885167,1,0,50,0,65.7,Medium
SEG100067,23.016717255393445,72.5751889634989,7,9.601006296631155,0,6.773488018254894,0,1,60,0,80.3,Low
SEG100068,23.001694980901238,72.58915582881846,10,2.206850967291053,2,8.284787925969523,1,2,40,0,57.7,Medium
SEG100069,23.02401945640778,72.54176564029356,0,1.0563380953339352,3,6.409970103480013,0,1,30,0,24.7,High
SEG100070,23.011802157005075,72.55553575950907,16,5.247623360817011,2,4.8172422060787765,1,1,40,0,54.6,Medium
SEG100071,23.022469075404853,72.57206272122478,20,9.072468719812242,1,6.185124778200065,0,2,50,0,65.1,Medium
SEG100072,23.04693716902975,72.55727780853262,18,3.112792187447442,2,0.2580261045716692,1,1,30,0,44.8,High
SEG100073,23.012866671722595,72.54136323120561,10,8.001603193989524,3,2.651125071643914,0,1,30,1,59.9,Medium
SEG100074,23.003206650792897,72.53188965492097,1,1.6919726588028094,2,1.5773729504460587,1,0,40,1,38.8,High
SEG100075,23.015476114061208,72.55642887934063,11,7.455703960009395,5,4.134154354667404,0,0,60,1,52.9,Medium
SEG100076,23.016147656677166,72.57219858672782,22,5.5702694138743105,7,8.930365385727946,0,5,40,1,0.0,High
SEG100077,23.036405408309978,72.56730897352992,2,1.7501697539437222,3,1.8794947564024733,1,1,60,1,30.7,High
SEG100078,23.03063676837877,72.54015568058445,5,7.180872494376086,3,0.7098461021221925,0,1,40,1,46.5,Medium
SEG100079,23.04311440150085,72.55929507385137,20,7.137561134564273,1,7.769219397291077,0,2,60,0,58.2,Medium
SEG100080,23.036537244718005,72.55401561800178,13,5.154352291434403,3,8.679030196167494,1,1,50,0,62.6,Medium
SEG100081,23.022351277379205,72.54782315614906,4,2.2546763764267466,4,5.313948190322442,1,4,30,0,24.9,High
SEG100082,23.044771121156632,72.57740263085093,0,1.3229389224499655,1,3.7656657181913333,0,2,40,0,26.9,High
SEG100083,23.009183510594923,72.55012738195177,9,9.572550484597892,4,4.305349720983362,1,0,80,0,61.7,Medium
SEG100084,23.00124916402236,72.56510922690164,14,6.558125382591552,4,6.589917137562411,1,1,80,0,59.9,Medium
SEG100085,23.00495263234266,72.59000952979252,20,8.09241483573384,1,8.312514825330164,1,1,40,1,95.7,Low
SEG100086,23.039729764282804,72.56505293884648,21,6.969705290502416,2,1.8944042945065565,0,0,60,1,41.8,High
SEG100087,23.025403247663824,72.57010648916044,10,8.29473665192289,1,9.022583360271142,1,1,60,1,81.7,Low
SEG100088,23.008869947846847,72.53476098910089,10,1.6249081974892343,4,6.573900760589273,1,0,30,0,55.8,Medium
SEG100089,23.027557462630686,72.5415787193432,22,4.969502245470444,3,7.382905470899914,1,0,40,1,61.1,Medium
SEG100090,23.008377165649225,72.53656182795437,18,6.6712477050229335,2,0.869122680522677,1,1,50,1,62.0,Medium
SEG100091,23.038297620629276,72.57971284164313,5,1.0338989989521796,2,9.183446933032423,1,0,20,1,46.2,Medium
SEG100092,23.02453859515657,72.5843348702596,16,1.499569493284083,1,5.281945871060197,0,1,50,0,36.3,High
SEG100093,23.020956167435305,72.54211959405765,17,6.339825942509465,0,3.621071117005621,0,3,30,0,63.4,Medium
SEG100094,23.016583164903132,72.54425266381,5,8.687058042538201,0,3.9893734647073176,1,0,40,1,79.7,Low
SEG100095,23.03466554262154,72.55100847381703,23,6.6041617894159765,1,2.9303403107294934,0,1,30,0,50.0,Medium
SEG100096,23.019899693580438,72.568420045102,7,0.36204813456075624,3,1.629724265061241,0,1,50,0,19.5,High
SEG100097,23.004820745562384,72.570416752597,13,9.704329170903229,2,0.34658882471783725,1,1,30,1,68.3,Medium
SEG100098,23.006490324616628,72.5746390073052,11,1.3950690090624507,2,2.64408165061339,1,1,40,0,46.4,Medium
SEG100099,23.052904371550223,72.58883752915388,16,2.3256223355248973,3,4.966117089386962,1,0,30,0,47.5,Medium
SEG100100,23.049971937988918,72.54917760913227,21,9.749672819047243,2,6.667606187461937,1,1,20,1,70.9,Low
SEG100101,23.03848389235959,72.57281933429844,9,7.710329966533749,2,7.3334650428920645,1,2,60,0,65.1,Medium
SEG100102,23.014622847880272,72.56638198497555,9,9.365766803785066,2,5.956040806988914,0,1,30,0,73.6,Low
SEG100103,23.053304700754126,72.54987942062682,18,8.066196928080297,1,1.160621566637119,1,1,30,0,64.1,Medium
SEG100104,23.04283129971812,72.58898198712859,22,6.5173447500320005,4,4.315485720400716,1,2,20,1,50.0,Medium
SEG100105,23.039428960403743,72.53620642177735,21,2.84552998863006,6,6.674056012669007,0,1,40,1,30.5,High
SEG100106,23.024714882617907,72.57628006674409,18,3.2688144169952538,1,7.431756970907931,0,1,30,0,51.2,Medium
SEG100107,23.014973285901483,72.57731179134647,16,9.472710730443698,3,3.245068283265764,0,2,40,0,61.2,Medium
SEG100108,23.005301502918442,72.58949622429985,18,8.606256161556447,3,9.284413484690562,1,2,50,0,73.6,Low
SEG100109,23.049643131809912,72.56370773850284,22,3.5949044844232647,0,7.9538153331227415,1,1,20,1,68.8,Medium
SEG100110,23.025067695940848,72.55090545198425,0,3.732674176207038,3,8.517309308360282,1,0,30,1,58.7,Medium
SEG100111,23.011129985063736,72.5838031435409,14,2.9769439027588476,0,6.665449911701985,1,0,30,1,82.5,Low
SEG100112,23.016827614328285,72.5801026683191,0,3.2613014262500393,4,4.137604761851406,1,1,60,0,30.1,High
SEG100113,23.031857076291804,72.56252051493726,13,8.606674662887857,2,9.341685112192078,1,0,20,1,93.0,Low
SEG100114,23.009722503061656,72.5799107294162,9,0.10506856589846847,2,9.014452041653026,0,1,50,0,53.7,Medium
SEG100115,23.04711378562508,72.54741191413503,7,4.360526211095247,5,8.284753929749261,1,0,80,0,38.3,High
SEG100116,23.041718574140937,72.56831791147623,21,9.428396785279078,3,8.911271286448084,1,0,20,0,71.1,Low
SEG100117,23.039570462577302,72.5862369245612,17,5.426363551828088,0,9.166108012311245,0,1,30,0,77.2,Low
SEG100118,23.02376511718763,72.55066899280007,13,4.504457901439035,0,7.463572657266074,1,0,50,0,75.7,Low
SEG100119,23.034501986238634,72.561430748858,21,3.123698046995881,1,2.0033619077785847,0,1,60,1,38.3,High
SEG100120,23.0321253882902,72.59181791552123,2,0.7391262986190383,4,5.385472721535135,0,1,30,1,20.6,High
SEG100121,23.035741563085516,72.58188376972817,15,2.2448647802751287,4,6.15993968790109,0,1,40,0,37.5,High
SEG100122,23.004644437662694,72.58765753632149,3,0.9045840993687126,1,7.733734529015678,1,0,50,0,55.0,Medium
SEG100123,23.022869407119384,72.55504105895788,5,1.2669942971542825,1,4.951472296515948,0,1,40,0,27.2,High
SEG100124,23.002288779562406,72.59477284187625,4,1.6351654412626981,5,5.128711408814995,0,2,50,0,9.5,High
SEG100125,23.02716949505845,72.53991676430445,13,3.0202943208427846,2,9.955650140847869,1,0,40,0,67.3,Medium
SEG100126,23.018142366678305,72.56372008790906,15,0.11016679995535461,2,4.522052424467095,1,1,60,0,41.6,High
SEG100127,23.007948830387633,72.56115276984926,18,9.501438855932477,1,1.3000983989599457,1,1,40,1,76.3,Low
SEG100128,23.00568716322474,72.58189809240201,10,1.2381909267697455,1,7.096838043210827,0,1,40,0,51.8,Medium
SEG100129,23.032320451469776,72.58906015521347,22,3.8314887235958706,3,3.6254166003796726,1,0,50,1,43.5,High
SEG100130,23.00938261326953,72.57752405949903,8,8.795275597147805,3,2.485389469638981,0,0,30,1,67.7,Medium
SEG100131,23.050881606510725,72.57074305534847,3,1.0656797019076225,2,6.284619672000752,1,0,40,1,48.2,Medium
SEG100132,23.031958362683522,72.55778289740515,0,4.836042517541208,1,9.54367672154945,1,0,20,1,75.8,Low
SEG100133,23.019077839249416,72.56317118460993,3,8.447835975413957,3,3.1280885511596015,0,1,40,1,55.5,Medium
SEG100134,23.032500352031477,72.56310452035962,10,5.569626240341401,3,3.722712470803773,1,0,40,0,53.4,Medium
SEG100135,23.001254212906634,72.53132395078948,9,2.1034359542276,1,4.6549003753938365,1,0,60,0,57.8,Medium
SEG100136,23.05272075672828,72.5626979773138,20,7.355095314125814,2,6.879944561600757,0,1,50,1,63.0,Medium
SEG100137,23.026526689031858,72.58563810201132,3,6.813410628675078,0,3.9594885258864023,0,0,40,0,68.9,Medium
SEG100138,23.043050437498767,72.57610281072425,6,3.621859065469243,1,4.250897690471871,1,1,50,1,61.7,Medium
SEG100139,23.004550149995733,72.58172106043813,23,0.46295161581375144,4,7.009053978286978,0,0,30,0,24.5,High
SEG100140,23.026766208196097,72.55538152433495,0,0.07864689896093902,4,9.851350870746385,0,0,30,0,34.7,High
SEG100141,23.026988884689498,72.56438326039934,10,8.253928831271717,2,3.1650406953025554,0,2,20,1,55.4,Medium
SEG100142,23.051580455023625,72.53217643198481,4,3.2155736155906856,2,5.853274758164143,0,2,20,0,33.4,High
SEG100143,23.031445042880684,72.55489486624101,12,1.377698986059046,5,7.94404188540422,0,1,50,0,36.7,High
SEG100144,23.026041917058134,72.56083704291802,23,5.185512261629821,3,2.1212793986396328,1,1,80,0,36.0,High
SEG100145,23.014683661470055,72.54658857847394,5,9.208332957250901,0,8.183191442891841,0,0,40,1,86.0,Low
SEG100146,23.01823629485384,72.53203066363439,8,0.08480864522397713,6,3.549306317949811,1,0,30,0,30.5,High
SEG100147,23.028636982135936,72.57487652707063,10,0.5614354067641447,7,1.1102292990489704,1,1,20,0,22.0,High
SEG100148,23.024140130316777,72.55828070380518,19,4.170449325850724,1,0.24902740387344524,1,2,20,1,58.6,Medium
SEG100149,23.001188664393418,72.5570190825523,23,6.7596590675506345,0,0.33086844888482125,1,2,60,0,53.3,Medium
SEG100150,23.045446055830688,72.54624913901185,2,4.761004587670502,2,7.97642381494782,1,2,40,0,44.8,High
SEG100151,23.049288842451187,72.56495897593487,11,8.975484384654047,3,6.749386252993443,0,2,60,1,67.8,Medium
SEG100152,23.007713699894925,72.5584717407826,18,0.44084555537478143,3,7.934901275052283,1,2,30,1,43.8,High
SEG100153,23.030471987894646,72.56080899074689,0,3.4014086964374357,1,7.529478171902473,1,2,40,0,53.2,Medium
SEG100154,23.00597166576245,72.56775663764836,19,3.5134788938872075,3,3.8097533698942474,1,3,50,1,36.8,High
SEG100155,23.03697320511719,72.53041110207059,5,3.401272259863417,7,9.330185459069837,0,0,20,0,29.8,High
SEG100156,23.015467858111144,72.58900023372999,12,4.876859121233906,0,8.779455767201464,1,2,50,1,72.5,Low
SEG100157,23.036268244908054,72.53462068080142,23,7.905770451946105,2,3.4835163023750946,1,0,50,0,52.5,Medium
SEG100158,23.039984703785777,72.55931010857554,15,3.178826164028173,0,7.729410103345416,0,1,20,0,69.2,Medium
SEG100159,23.04227561205547,72.54347923689056,23,7.444832066322026,0,8.196581841549296,1,2,20,0,75.5,Low
SEG100160,23.005925752027576,72.56404585400904,14,1.464654712790714,1,4.884643944192614,0,2,40,1,36.1,High
SEG100161,23.05038065148257,72.54821495707182,5,5.607248556339503,4,1.2041891657122228,0,1,80,0,17.1,High
SEG100162,23.012661769499218,72.58590042237407,16,3.750880256655451,2,3.340568197891497,1,3,80,0,27.7,High
SEG100163,23.00205769058969,72.55576338920756,14,5.392108022955706,6,9.888112793002094,1,2,20,0,56.5,Medium
SEG100164,23.03051688581653,72.57151911112494,7,1.0774975037224943,1,7.159353752792312,1,0,50,0,67.6,Medium
SEG100165,23.020400725612433,72.54617718232961,1,9.534628467609085,3,7.747108789539795,0,0,50,0,59.3,Medium
SEG100166,23.04563843587228,72.53126139978211,15,9.062141168017778,2,9.11924311548063,1,2,60,1,72.7,Low
SEG100167,23.044453830963537,72.55627004481487,13,8.263963042906289,1,2.0276287568730647,0,0,20,1,67.7,Medium
SEG100168,23.017442639105248,72.56487162182128,18,8.927828233880518,0,9.684040307259744,0,0,80,0,91.8,Low
SEG100169,23.052409466728836,72.55987056483201,3,1.466878701814861,2,5.181420077583073,0,2,50,1,35.4,High
SEG100170,23.016000481097706,72.59253093364822,12,5.037217730196659,3,7.44678529301382,0,0,40,1,55.1,Medium
SEG100171,23.028328142107743,72.5759445463,19,3.1790915875652335,3,3.182103279880862,0,0,20,0,52.3,Medium
SEG100172,23.014078079981218,72.59471853704065,21,8.873859413041586,4,3.2940692436425687,1,0,30,0,48.3,Medium
SEG100173,23.051482396352693,72.5491789058704,22,1.8943768249946646,2,3.595997285367054,0,1,30,1,33.6,High
SEG100174,23.00905342996701,72.58128846317446,5,2.1994535514197233,7,3.480588797578572,1,0,60,1,13.5,High
SEG100175,23.002470084066577,72.56611130039053,4,6.8671445635501085,2,0.6250319670430182,0,1,50,0,25.5,High
SEG100176,23.02393033830017,72.56976442303915,13,0.8889965908766817,1,3.095743154041969,0,2,60,1,36.7,High
SEG100177,23.05458065602307,72.59408045802876,11,7.323671769166397,2,6.473807211960465,0,0,40,1,83.7,Low
SEG100178,23.04904224964402,72.57250916798382,5,2.6812728831412236,1,9.019729440862168,0,2,60,0,33.8,High
SEG100179,23.041173441070132,72.5884230980019,2,6.609353652671474,2,0.41665338165192134,0,3,60,1,30.7,High
SEG100180,23.048993586998318,72.57717376525675,3,8.730377863606604,1,0.16628355411263063,0,1,20,0,55.8,Medium
SEG100181,23.04913956518338,72.53828009791211,8,6.096113732349906,4,5.923991148391684,1,0,30,1,71.9,Low
SEG100182,23.028537209821256,72.57546254117095,17,2.12683733286109,4,6.996742944044905,0,2,50,1,47.8,Medium
SEG100183,23.017376097850693,72.56148051326456,1,0.49165525539216604,0,6.082385377483513,1,2,50,0,42.6,High
SEG100184,23.042460683766105,72.58972186954385,2,0.4461397169506587,3,9.730433434073134,0,2,30,1,44.3,High
SEG100185,23.036391369474227,72.58244423906739,6,0.8881188201400791,4,2.2886826858211897,1,0,50,1,35.0,High
SEG100186,23.020551175088055,72.53676875469446,20,5.7981791246971595,3,4.812447823715545,1,2,30,0,57.2,Medium
SEG100187,23.005195666743383,72.53870451683748,23,3.4821785404065118,5,9.159019994604787,1,0,40,0,51.7,Medium
SEG100188,23.041073428624195,72.53452471511692,10,2.4310697739589813,0,6.174972760015613,0,1,60,0,49.5,Medium
SEG100189,23.014435328375757,72.5620609168584,1,2.193065577971912,2,5.771219650453398,1,1,30,0,25.3,High
SEG100190,23.051524723279357,72.53525016434848,0,9.48581531903099,1,9.328416549468189,1,2,20,1,72.1,Low
SEG100191,23.01325338162531,72.57703909187735,20,1.188165758920744,2,3.3890281071728023,1,1,50,1,43.9,High
SEG100192,23.00675168628263,72.56590330779427,10,3.048144107726547,4,1.571758323546416,0,3,50,1,25.9,High
SEG100193,23.04571119696687,72.58433252614095,1,4.7147726201919316,1,1.292308897989668,1,2,30,0,36.7,High
SEG100194,23.008430637414346,72.54818672626364,20,0.00449526074255413,1,8.218722949002576,1,1,40,1,61.1,Medium
SEG100195,23.009859756948675,72.56374415097048,12,9.209531874757245,1,8.569483895406794,1,3,40,0,70.5,Low
SEG100196,23.032966053533645,72.53763617958418,8,0.9909859076010386,1,2.338783425831912,1,1,50,1,48.5,Medium
SEG100197,23.04810091224606,72.58749965017226,10,6.8247060068617245,2,4.570713448830379,1,1,50,1,66.7,Medium
SEG100198,23.010803906614303,72.54137532254884,5,6.288654771624883,2,5.8485173552640735,1,1,30,0,52.1,Medium
SEG100199,23.017067802009507,72.53665354633777,22,8.090638551047372,6,1.3903409928534727,1,0,30,1,47.4,Medium
SEG100200,23.042757266103266,72.54332828890401,18,6.513877305621525,2,8.488106193311278,0,4,30,0,58.1,Medium
SEG100201,23.053450453433353,72.582405046767,4,7.693874172159795,2,4.188782556235582,1,2,30,1,49.6,Medium
SEG100202,23.027540765241127,72.5368779442995,17,4.212486087885275,3,8.634737539275426,1,0,30,1,74.2,Low
SEG100203,23.007914362640317,72.56993778716448,4,4.887044945516232,2,7.600766552032469,0,4,50,1,26.2,High
SEG100204,23.00076649582395,72.57850178453998,10,7.016621021644194,4,2.949542750244073,0,0,60,0,38.8,High
SEG100205,23.012631081649936,72.57882027543138,17,5.6842672105505105,1,7.1657421632800355,1,0,30,0,83.5,Low
SEG100206,23.007250221978257,72.54235395762953,0,5.115385502667199,2,7.407050343885063,1,2,60,0,53.7,Medium
SEG100207,23.037271227048706,72.53400555989455,17,2.0555840605454936,2,3.1126307635501727,0,1,40,1,43.9,High
SEG100208,23.006700787754568,72.5591724149452,5,2.581082608063754,3,2.5373559007169835,1,1,50,0,37.5,High
SEG100209,23.027848146239133,72.5431615474409,16,3.5849724105939353,2,8.234277875544976,0,0,60,1,59.6,Medium
SEG100210,23.03818443396036,72.57545260258591,11,0.09284385423503183,2,6.779330406984332,1,1,30,1,54.5,Medium
SEG100211,23.03196141350715,72.5531850319776,0,4.17363449580237,2,7.395732323373487,0,5,50,0,28.6,High
SEG100212,23.0109876608413,72.55920800616715,18,0.027684757639128144,2,3.130552534294675,0,0,30,1,42.4,High
SEG100213,23.044226848940024,72.5373765206516,6,5.650154359213367,3,7.221940236928144,1,0,60,0,67.9,Medium
SEG100214,23.039347392128867,72.56689076862563,22,7.040287689723489,1,7.143065696289596,1,1,30,1,68.1,Medium
SEG100215,23.040644120215354,72.54205907232607,20,5.621486316151264,3,3.3327493129079344,0,0,40,0,49.1,Medium
SEG100216,23.007208176335652,72.57413406795948,4,6.935199732048759,3,2.7046005181927657,1,0,30,0,48.7,Medium
SEG100217,23.006806459200767,72.53462597346561,14,0.00013168556207476811,5,4.313948532020328,0,1,30,0,14.6,High
SEG100218,23.05101594030536,72.59343314849829,8,0.5944197328430956,3,7.3909220174809995,1,2,30,0,49.8,Medium
SEG100219,23.021866800660373,72.57449425360808,14,6.984624408755553,4,1.93587476831514,0,1,50,1,47.8,Medium
SEG100220,23.016552178047952,72.54181242190778,13,8.029001479567706,1,8.742624018355356,0,2,30,0,71.1,Low
SEG100221,23.026872122494336,72.53091615195503,7,7.177015708893944,2,2.5527602208171163,1,2,30,0,53.7,Medium
SEG100222,23.036457531702,72.55174008799334,15,6.630122425535516,2,8.396337006370011,0,0,20,0,76.9,Low
SEG100223,23.052559279137583,72.5399328621634,6,7.0738266381156,1,1.5580955929603135,0,1,30,1,68.1,Medium
SEG100224,23.01575454247851,72.54419673665276,21,7.395899257961657,1,7.394406955469309,1,1,30,1,70.1,Low
SEG100225,23.05086446361216,72.58672876679846,22,7.243774983675692,1,5.613949225385041,1,0,40,1,75.4,Low
SEG100226,23.001367272026243,72.5692083029033,3,7.380084776883398,2,6.614589874019016,0,2,40,1,53.1,Medium
SEG100227,23.030535892327975,72.54146974744688,17,0.7401970741518082,1,9.741365961999733,1,3,80,1,47.2,Medium
SEG100228,23.03486863114246,72.56618286104468,22,0.6327155149462471,3,0.5255787867009387,1,1,40,1,29.6,High
SEG100229,23.00582435720629,72.54662574247263,3,3.6111994322943897,4,1.491269730383471,1,1,20,1,33.1,High
SEG100230,23.007718677838515,72.59345305618328,17,5.275967145487956,4,0.7908480230224069,0,0,50,1,38.3,High
SEG100231,23.023051287562396,72.53212921996715,22,7.626190539217276,6,5.1963695934768825,1,2,20,1,41.0,High
SEG100232,23.053142755167876,72.57760069744091,5,3.3470781879101255,1,8.028072437503436,1,0,60,1,60.4,Medium
SEG100233,23.03278234042789,72.58024480670244,13,2.7511707663363483,1,0.5482479096779957,0,0,40,1,50.8,Medium
SEG100234,23.05131627718801,72.53436557965725,19,7.814483081185295,2,7.7940668252738785,1,1,20,0,84.0,Low
SEG100235,23.044239850358714,72.54117150867503,8,2.4933685145399496,3,4.330558234194839,1,1,80,1,45.5,Medium
SEG100236,23.02570598808554,72.55497993284176,5,8.208413768144634,1,9.414286529781364,0,2,40,0,59.3,Medium
SEG100237,23.04316198970887,72.58643006372439,9,1.7713354972003859,3,3.826961199025086,1,3,60,0,27.7,High
SEG100238,23.000981023118733,72.5649049959972,8,3.594735228724768,0,9.845979482434263,0,1,40,1,74.3,Low
